Площадь загальна кв.м;Этаж;Количество сотрудников в штаті;Тип;Кількість відгуків в гуглі;Количество чеков в месяц;Средний чек;Середній дохід населення;Населення середнє;Спеціалізований хліб;Спеціалізоване м'ясо;Спеціалізований сир;Спеціалізована поб. Хімія;Супермаркет
9.0;1;2;0;43.0;1230.0;1.4687507892374685;9.609787407758784;3807.0;1;1;1;0;0.0
30.0;1;2;0;8.0;2715.0;1.4912513280732116;9.108307646411031;9086.0;0;0;0;0;0.0
15.0;1;2;0;43.0;878.0;1.5514907132708071;9.108307646411031;6383.0;1;0;0;0;-inf
20.0;1;2;0;43.0;2346.0;1.5660066297600124;9.54180006677385;4.0;1;1;0;0;0.0
30.0;1;2;0;43.0;2542.0;1.5159789342503565;9.586033321750676;426.0;0;0;0;0;-inf
57.7;1;2;0;9.0;5478.0;1.4803421887365897;9.595602772766828;1618.0;1;1;1;1;-inf
50.0;1;4;0;21.0;9115.0;1.5089076184613552;9.463430999658344;9213.0;0;0;0;1;-inf
45.0;1;6;0;325.0;14777.0;1.5872636973025485;9.35444071594994;12261.0;1;0;0;1;-inf
27.0;1;2;0;43.0;2734.0;1.4431723270012284;9.298351249298896;9750.0;0;0;0;0;-inf
54.5;1;2;0;17.0;6322.0;1.4775113193551406;9.463430999658344;231.0;0;0;0;0;-inf
15.0;1;2;1;4.0;5968.0;1.4687507892374685;9.47424191576256;256.0;0;0;0;0;-inf
27.09;1;5;1;5.0;13182.0;1.5533727917527633;9.407550541263888;4340.0;0;1;0;0;0.0
56.65;1;4;1;43.0;6539.0;1.5089076184613552;9.225228984469933;7248.0;0;0;1;1;-inf
80.0;1;8;1;7.0;7944.0;1.5182757199460604;9.57637141083894;955.0;0;0;0;0;0.0
232.3;1;6;1;34.0;11747.0;1.5182757199460604;7.1853870155804165;1712.0;0;0;0;0;-inf
140.22;1;4;0;43.0;7798.0;1.4626737779454593;9.407550541263888;596.0;0;0;0;0;0.0
25.0;1;2;0;43.0;6332.1875;1.5182757199460604;9.291920358968605;10861.0;1;1;1;1;-inf
51.0;1;4;0;43.0;4750.0;1.4990284086108943;9.285447844462988;8985.0;1;1;0;0;-inf
70.0;1;4;0;43.0;6778.26171875;1.5182757199460604;9.343033913701648;6061.0;0;0;0;0;-inf
24.0;1;2;0;43.0;3329.0;1.4964725796851872;9.211339872309265;7255.0;0;0;0;0;-inf
44.0;1;4;0;5.0;7093.0;1.436201191916192;9.348361669873558;6086.0;0;0;0;0;0.0
4.0;1;2;2;45.0;3258.0;1.4289675858306226;9.605081516721372;2729.0;1;1;1;1;-inf
29.27;1;4;0;27.0;8938.0;1.5159789342503565;9.14633504200027;10171.0;0;0;1;0;-inf
120.0;1;6;1;134.0;11293.0;1.5159789342503565;9.38429367909962;0.0;0;0;0;0;-inf
32.3;1;4;0;13.0;6949.0;1.582587535887981;-inf;3636.0;1;1;1;1;-inf
53.71;1;2;0;28.0;5807.0;1.511295614460169;9.372459221452617;1607.0;0;0;0;0;-inf
20.06;1;2;0;9.0;3522.0;1.4465648595477707;9.479603858903946;189.0;0;0;0;0;-inf
29.0;1;2;0;43.0;3718.0;1.4831304777411851;9.413281215972873;2502.0;0;0;0;0;-inf
56.24;1;4;0;43.0;8080.0;1.5227830126997552;9.131297164635729;9174.0;0;0;1;0;-inf
148.54;1;8;3;367.0;13645.0;1.5976977501549372;9.35444071594994;402.0;1;0;0;1;-inf
65.0;1;4;1;43.0;5396.0;1.4687507892374685;9.343033913701648;6061.0;0;0;0;0;-inf
43.17;1;4;1;8.0;8168.0;1.5293379817722996;9.479603858903946;1541.0;1;0;0;0;0.0
36.49;1;6;0;12.0;14874.0;1.50648771329857;9.298351249298896;3287.0;1;1;0;1;-inf
30.0;1;4;1;43.0;3734.0;1.4990284086108943;9.238927828828094;12790.0;0;0;0;0;-inf
24.04;1;2;0;11.0;5934.0;1.453173761903945;9.50599061407714;246.0;1;1;1;0;-inf
103.5;1;4;0;43.0;7108.625;1.5182757199460604;9.343033913701648;6061.0;0;0;0;0;-inf
20.0;1;3;0;4.0;8480.0;1.4990284086108943;9.366489054466115;12988.0;0;0;0;0;0.0
26.72;1;2;0;43.0;7431.5390625;1.5182757199460604;9.435881047890113;9548.0;0;0;0;0;-inf
50.0;1;4;0;43.0;6641.0;1.5271796258079011;9.304741047397666;1970.0;0;1;1;0;0.0
30.0;1;4;0;43.0;6694.0;1.5159789342503565;9.490242257109001;7718.0;0;0;0;1;-inf
14.508;1;4;0;43.0;4657.0;1.4803421887365897;9.168476167877484;12551.0;0;0;0;0;-inf
60.0;1;6;1;59.0;17537.0;1.5607042729746456;9.245707515813473;12359.0;0;0;0;0;-inf
20.0;1;2;0;43.0;7851.26025390625;1.5182757199460604;9.153770020487789;14157.0;0;0;1;1;-inf
44.0;1;4;0;1.0;12720.0;1.533577726591972;9.278933163441794;10422.0;1;1;0;1;0.0
30.0;1;2;0;43.0;2399.0;1.5015489517809617;9.245707515813473;7517.0;1;0;0;1;-inf
67.6;1;4;1;43.0;3642.0;1.520543522634296;9.238927828828094;3678.0;0;0;0;0;0.0
15.5;1;2;0;43.0;5396.0;1.4687507892374685;9.484937204879309;4420.0;0;0;0;0;-inf
20.33;1;4;0;43.0;2487.0;1.4990284086108943;9.323669057283185;5305.0;1;1;0;1;0.0
20.0;1;2;0;47.0;2201.0;1.5015489517809617;9.452501929126154;1464.0;0;0;0;0;0.0
60.0;1;6;1;32.0;14029.0;1.557077128137304;9.329899607033822;12480.0;0;0;0;0;-inf
60.0;1;6;0;28.0;8548.0;1.55523479881416;9.265775078864284;13541.0;0;0;0;0;-inf
25.45;1;4;0;64.0;1296.0;1.4775113193551406;9.265775078864284;6629.0;0;1;0;0;-inf
27.28;1;6;0;218.0;14559.0;1.5872636973025485;9.342245442856122;9170.0;1;1;0;0;-inf
51.24;1;4;1;43.0;14115.0;1.5293379817722996;9.360483030405902;11365.0;1;0;1;0;-inf
70.0;1;4;1;43.0;7798.266265869141;1.5182757199460604;9.343033913701648;6061.0;0;0;0;0;-inf
25.42;1;4;0;3.0;5404.0;1.4746366515748413;9.435881047890113;570.0;0;1;0;0;-inf
51.0;1;4;1;43.0;6810.0;1.5040351003996315;9.484937204879309;256.0;0;1;1;0;-inf
30.0;1;2;0;5.0;1464.0;1.4858773557530183;9.646657943567112;5275.0;0;0;0;0;-inf
34.43;1;2;0;1.0;6919.970407485962;1.5182757199460604;9.343033913701648;6061.0;0;0;0;0;-inf
45.2;1;4;0;2.0;9448.0;1.5182757199460604;9.20432229965062;10126.0;0;0;0;0;-inf
29.0;1;2;0;43.0;1525.0;1.520543522634296;9.566615235893575;1401.0;0;0;0;1;-inf
78.37;1;6;1;43.0;12297.0;1.557077128137304;9.511185430954244;6979.0;0;0;0;0;-inf
27.78;1;6;1;44.0;14556.0;1.562489821742864;9.272375762895635;8595.0;0;0;0;0;-inf
30.0;1;2;0;25.0;5008.0;1.524994838195378;9.31739944426959;8973.0;1;0;0;0;-inf
51.77;1;6;1;4.0;13552.0;1.5417646344281224;9.190137664658664;12018.0;1;0;0;1;-inf
27.26;1;4;0;3.0;7598.0;1.5015489517809617;9.441452092939569;10121.0;1;1;1;1;-inf
148.91;1;2;0;12.0;5431.0;1.53975317897557;9.265775078864284;7221.0;0;0;0;0;-inf
50.93;1;3;1;17.0;4375.0;1.633928354228994;9.430278792341444;3137.0;0;1;1;0;-inf
30.0;1;3;0;12.0;7355.0;1.5314704927383054;9.252441547994819;6623.0;1;1;1;0;-inf
